HealthAuthority,Region,Deprivation,Maternities,Smoking,SmokingUnknown,Breastfeeding,BreastfeedingUnknown
West Kent PCT,South East Coast,13.53,2086,260,18,1537,14
Leicestershire County And Rutland PCT,East Midlands,10.61,1769,180,10,1304,10
Leicester City PCT,East Midlands,34.68,1267,147,22,937,12
Northamptonshire PCT,East Midlands,16.05,2296,356,7,1743,27
Dudley PCT,West Midlands,23.68,876,119,1,501,18
Sandwell PCT,West Midlands,36.95,1178,163,10,721,20
Birmingham East And North PCT,West Midlands,38.89,1451,208,0,955,3
North Staffordshire PCT,West Midlands,18.23,553,73,0,385,0
Stoke On Trent PCT,West Midlands,35.27,975,201,0,598,0
South Staffordshire PCT,West Midlands,15.58,1682,241,43,1087,45
Worcestershire PCT,West Midlands,15.51,1528,246,18,1134,28
Warwickshire PCT,West Midlands,14.57,1421,281,14,1059,3
Peterborough PCT,East of England,24.49,705,119,0,505,0
Cambridgeshire PCT,East of England,11.49,1733,164,0,1430,7
Norfolk PCT,East of England,17.32,1851,267,0,1441,10
Great Yarmouth And Waveney PCT,East of England,24.87,591,121,19,403,7
Suffolk PCT,East of England,13.85,1696,237,16,1337,23
West Essex PCT,East of England,14.39,872,115,15,663,27
North East Essex PCT,East of England,18.68,883,179,5,630,4
Mid Essex PCT,East of England,11.47,1058,102,3,787,23
South West Essex PCT,East of England,18.78,1341,147,2,947,26
Eastern And Coastal Kent PCT,South East Coast,20.16,2127,376,2,1527,0
Hampshire PCT,South Central,10.41,3596,489,42,2833,21
Buckinghamshire PCT,South Central,8.92,1543,111,3,1198,41
Oxfordshire PCT,South Central,11.07,2050,170,23,1616,15
Berkshire West PCT,South Central,10.79,1597,133,2,1248,20
Berkshire East PCT,South Central,12.87,1398,140,3,1118,6
Gloucestershire PCT,South West,14.65,1649,256,8,1297,0
Bristol PCT,South West,27.76,1672,179,10,1315,55
Wiltshire PCT,South West,10.41,1355,169,8,1099,20
Somerset PCT,South West,15.9,1311,221,0,1045,0
Dorset PCT,South West,14.19,849,121,20,677,2
Bournemouth And Poole PCT,South West,19.29,1060,126,1,790,39
Cornwall And Isles Of Scilly PCT,South West,23.98,1393,207,7,1097,0
Devon PCT,South West,17.44,1748,170,11,1315,40
Redcar And Cleveland PCT,North East,29.69,411,118,0,217,0
Isle Of Wight NHS Pct,South Central,20.67,348,78,0,271,0
Hertfordshire PCT,East of England,11.89,3628,344,55,2775,8
Solihull Care Trust,West Midlands,16.16,641,96,0,443,0
Northumberland Care Trust,North East,20.82,706,141,2,443,1
Bexley Care Trust,London,16.21,697,73,6,514,5
Torbay Care Trust,South West,26.42,383,80,0,272,3
North East Lincolnshire PCT,Yorkshire and The Humber,28.84,502,115,1,309,0
Blackburn With Darwen PCT,North West,35.83,527,87,2,377,6
