"lswt" "day"
"1" 290.091099163634 1
"2" 290.427402404438 2
"3" 289.601081152482 3
"4" 287.45049336788 4
"5" 287.4715714491 5
"6" 286.057452724411 6
"7" 285.936006029035 7
"8" 286.756352767741 8
"9" 287.029772857112 9
"10" 287.048881852871 10
"11" 287.844220398651 11
"12" 288.259747623907 12
"13" 286.960711326854 13
"14" 287.836479367033 14
"15" 289.504572862918 15
"16" 289.896385927395 16
"17" 288.612818427964 17
"18" 287.665028766874 18
"19" 288.804702252858 19
"20" 287.486071683524 20
"21" 288.001593569944 21
"22" 288.038710495673 22
"23" 289.805329057068 23
"24" 289.194641756639 24
"25" 288.702074778731 25
"26" 290.0207042821 26
"27" 289.141169737851 27
"28" 289.463146444862 28
"29" 289.947951426244 29
"30" 289.750931674872 30
"31" 289.233235792294 31
"32" 290.199591655509 32
"33" 289.815357136325 33
"34" 289.606940407583 34
"35" 291.15731486796 35
"36" 293.005439509643 36
"37" 292.659526731908 37
"38" 292.689562097062 38
"39" 291.012992232585 39
"40" 291.264775836497 40
"41" 290.251826099145 41
"42" 290.468561174731 42
"43" 289.079943034738 43
"44" 288.876915058449 44
"45" 288.347579232204 45
"46" 289.133762737587 46
"47" 290.395989109654 47
"48" 291.414297982636 48
"49" 291.631050898691 49
"50" 290.549628763515 50
"51" 290.81972244281 51
"52" 289.182252696644 52
"53" 289.645196155134 53
"54" 288.139246691481 54
"55" 287.447820816583 55
"56" 287.773947450163 56
"57" 286.710420528219 57
"58" 288.607654357423 58
"59" 287.261696799385 59
"60" 287.346938720478 60
"61" 286.762800381391 61
"62" 288.90505115911 62
"63" 289.451280035112 63
"64" 288.994060954498 64
"65" 289.584982107053 65
"66" 289.977270599834 66
"67" 289.949979202269 67
"68" 289.623468339381 68
"69" 289.869397712436 69
"70" 291.575416863406 70
"71" 289.337848836552 71
"72" 288.853804762448 72
"73" 288.144431261551 73
"74" 287.844201226172 74
"75" 287.866140427617 75
"76" 288.937999761774 76
"77" 289.098245286262 77
"78" 287.165797722117 78
"79" 285.595694938189 79
"80" 286.965540068722 80
"81" 287.148670696305 81
"82" 288.324414451094 82
"83" 287.127001074883 83
"84" 287.438109056501 84
"85" 286.164414462529 85
"86" 286.991937350362 86
"87" 286.193763617595 87
"88" 286.798544707124 88
"89" 287.286598721984 89
"90" 285.27588690435 90
"91" 286.521100603765 91
"92" 287.458846785766 92
"93" 285.673302318825 93
"94" 286.798428613497 94
"95" 285.958854769889 95
"96" 285.48523660478 96
"97" 286.359347984437 97
"98" 286.089562660399 98
"99" 286.828884236328 99
"100" 287.013684573179 100
"101" 287.621949248556 101
"102" 287.708300538789 102
"103" 286.30161288008 103
"104" 285.966302012041 104
"105" 285.462071088046 105
"106" 283.910375193907 106
"107" 284.608567024706 107
"108" 283.52395711898 108
"109" 283.893471319504 109
"110" 282.80597919728 110
"111" 282.708667061514 111
"112" 281.762903781294 112
"113" 283.702533887255 113
"114" 284.230056687514 114
"115" 281.934744477317 115
"116" 281.608810273393 116
"117" 281.568374284302 117
"118" 280.983149757424 118
"119" 282.018153710282 119
"120" 282.939580978296 120
"121" 283.492691122098 121
"122" 284.134189417923 122
"123" 281.920169260738 123
"124" 280.807780180704 124
"125" 279.238559925903 125
"126" 281.541882990941 126
"127" 282.023967072597 127
"128" 283.023148433616 128
"129" 283.155951085693 129
"130" 282.789153311253 130
"131" 283.737414187644 131
"132" 283.120194697018 132
"133" 282.179684656679 133
"134" 281.632795507367 134
"135" 282.625536554633 135
"136" 281.271585969812 136
"137" 280.293214843525 137
