Year Biomass
1963 140
1964 430
1965 544
1966 458
1967 254
1968 288
1969 813
1970 899
1971 419
1972 301
1973 296
1974 259
1975 236
1976 305
1977 236
1978 131
1979 107
1980 150
1981 238
1982 296
1983 248
1984 194
1985 235
1986 215
1987 151
1988 152
1989 122
1990 76
1991 59
1992 97
1993 130
1994 151
1995 147
1996 179
1997 194
1998 166
1999 122
2000 102
2001 272
2002 445
2003 459
2004 450
