"","item_id","category","price","sellable_online","other_colors","depth","height","width"
"93",19255845,"Sofas & armchairs",1135,TRUE,"Yes",NA,NA,NA
"94",29336356,"Cabinets & cupboards",125,TRUE,"Yes",25,35,35
"95",59248867,"Cabinets & cupboards",580,TRUE,"Yes",35,60,140
"96",39221190,"Tables & desks",2165,TRUE,"No",NA,NA,NA
"97",246196,"Chairs",25,TRUE,"No",NA,NA,40
"98",9219457,"Sofas & armchairs",2055,TRUE,"Yes",98,80,211
"99",19252615,"Chairs",235,TRUE,"No",61,82,56
"100",29320732,"Wardrobes",3190,TRUE,"Yes",60,236,150
"101",10471085,"Chairs",545,TRUE,"No",59,107,51
"102",257953,"Beds",1095,TRUE,"No",NA,103,66
"103",49046068,"Beds",849,TRUE,"No",NA,80,NA
"104",30171123,"Children's furniture",175,TRUE,"No",30,145,46
"105",59177624,"Bookcases & shelving units",1735,TRUE,"Yes",30,237,120
"106",80433486,"Children's furniture",295,TRUE,"No",40,64,60
"107",40400529,"Bar furniture",796,TRUE,"No",NA,105,80
"108",99211758,"Chests of drawers & drawer units",1060,TRUE,"No",47,122,80
"109",30263844,"Bookcases & shelving units",115,TRUE,"Yes",28,106,80
"110",79305512,"Chairs",1300,TRUE,"Yes",163,83,90
"111",29300121,"Wardrobes",1260,TRUE,"No",38,236,100
"112",10424621,"Sofas & armchairs",345,TRUE,"Yes",76,70,119
"113",9287192,"Cabinets & cupboards",1345,TRUE,"Yes",47,119,80
"114",69325214,"Wardrobes",2246,TRUE,"No",42,201,300
"115",19046574,"Tables & desks",5300,TRUE,"Yes",220,NA,NA
"116",79295551,"Sofas & armchairs",2665,TRUE,"Yes",98,103,241
"117",20229011,"Chests of drawers & drawer units",395,TRUE,"No",40,75,80
"118",69286806,"Cabinets & cupboards",1000,TRUE,"Yes",45,61,41
"119",50420329,"Bar furniture",177,TRUE,"No",53,104,43
"120",397736,"Chairs",395,TRUE,"No",47,103,46
"121",39325022,"Wardrobes",3935,TRUE,"Yes",60,236,200
"122",69256569,"Sofas & armchairs",5600,TRUE,"No",98,104,235
"123",9157529,"Wardrobes",1518,TRUE,"No",55,216,165
"124",29161484,"Chairs",1675,TRUE,"No",NA,74,78
"125",79288273,"Tables & desks",3664,TRUE,"Yes",NA,NA,80
"126",9257029,"Sofas & armchairs",3908,TRUE,"No",98,102,259
"127",30308395,"Bar furniture",175,TRUE,"No",44,63,44
"128",70451640,"Chairs",100,TRUE,"No",NA,42,NA
"129",40347886,"Cabinets & cupboards",25,TRUE,"No",11,NA,33
"130",99221026,"Bookcases & shelving units",978,TRUE,"Yes",35,105,70
"131",69297249,"Tables & desks",1085,TRUE,"No",NA,NA,74
"132",60441581,"Bookcases & shelving units",60,TRUE,"Yes",NA,26,60
"133",50211104,"Tables & desks",549,TRUE,"No",NA,NA,NA
"134",60308676,"Chairs",250,TRUE,"Yes",68,NA,68
"135",89280380,"Tables & desks",1385,TRUE,"No",NA,104,74
"136",99241840,"Sofas & armchairs",1680,TRUE,"Yes",88,85,181
"137",29161573,"Tables & desks",6965,TRUE,"No",NA,74,100
"138",40322876,"Bookcases & shelving units",270,TRUE,"No",35,NA,81
"139",348717,"Bookcases & shelving units",25,TRUE,"No",NA,NA,NA
"140",80035920,"Trolleys",645,TRUE,"No",NA,90,43
"141",29266184,"Beds",7785,TRUE,"Yes",98,102,294
"142",49133616,"Bookcases & shelving units",755,TRUE,"Yes",159,147,147
"143",9305087,"Bookcases & shelving units",135,TRUE,"No",51,70,25
"144",70424147,"Outdoor furniture",1036,TRUE,"No",64,75,146
"145",79227755,"Beds",375,TRUE,"No",NA,NA,96
"146",49249396,"Cabinets & cupboards",875,TRUE,"No",47,167,45
"147",69337801,"Children's furniture",200,FALSE,"Yes",30,94,46
"148",80419961,"Bookcases & shelving units",25,TRUE,"No",NA,NA,NA
"149",79258308,"Sofas & armchairs",150,TRUE,"Yes",NA,20,70
"150",10234942,"Tables & desks",155,TRUE,"No",41,53,39
"151",19289911,"Sofas & armchairs",2195,TRUE,"Yes",98,95,211
"152",90347515,"Bookcases & shelving units",35,TRUE,"Yes",30,NA,22
"153",9186126,"Beds",2185,TRUE,"Yes",70,18,89
"154",50046152,"Bookcases & shelving units",9,TRUE,"No",27,NA,NA
"155",90282180,"Bookcases & shelving units",39,TRUE,"Yes",26,NA,NA
"156",361940,"Tables & desks",695,TRUE,"Yes",50,74,73
"157",70362427,"Beds",395,TRUE,"No",NA,53,66
"158",59256584,"Sofas & armchairs",2500,TRUE,"No",98,104,177
"159",10265293,"Bookcases & shelving units",30,TRUE,"Yes",26,NA,36
"160",10348905,"Sofas & armchairs",950,TRUE,"Yes",NA,NA,NA
"161",19289317,"Sofas & armchairs",275,TRUE,"Yes",16,27,NA
"162",19252347,"Chairs",645,TRUE,"Yes",67,NA,67
"163",414255,"Cabinets & cupboards",150,TRUE,"No",NA,NA,NA
"164",19297157,"Tables & desks",1725,TRUE,"No",NA,NA,NA
"165",29220780,"Chairs",295,TRUE,"Yes",58,97,51
"166",9297657,"Bookcases & shelving units",390,TRUE,"No",51,173,99
"167",30323367,"Bookcases & shelving units",200,TRUE,"Yes",NA,192,40
"168",59161492,"Tables & desks",4055,TRUE,"No",NA,74,100
"169",70366784,"Chests of drawers & drawer units",645,TRUE,"No",50,126,82
"170",10334319,"TV & media furniture",55,TRUE,"Yes",NA,NA,NA
"171",39251926,"Chairs",1220,TRUE,"No",94,90,98
"172",20208527,"Outdoor furniture",255,TRUE,"No",65,82,62
"173",49297491,"Bookcases & shelving units",195,TRUE,"No",51,73,50
"174",80294503,"Bookcases & shelving units",375,TRUE,"Yes",40,38,120
"175",99323614,"Tables & desks",370,TRUE,"No",40,91,60
"176",59933179,"Tables & desks",325,TRUE,"Yes",NA,73,75
"177",90334612,"Bookcases & shelving units",45,TRUE,"No",24,10,34
"178",49157565,"Wardrobes",1245,TRUE,"No",55,216,164
"179",89227731,"Beds",995,TRUE,"No",57,NA,96
"180",80382439,"Tables & desks",695,TRUE,"No",NA,74,78
"181",19305906,"Wardrobes",3760,TRUE,"No",66,236,150
"182",9297134,"Bookcases & shelving units",150,TRUE,"No",51,70,50
"183",40404202,"Sideboards, buffets & console tables",495,TRUE,"Yes",NA,63,35
"184",60375133,"Wardrobes",795,TRUE,"No",60,191,120
"185",89305205,"Chairs",1445,TRUE,"No",68,110,68
"186",40410335,"Sofas & armchairs",145,TRUE,"Yes",NA,NA,NA
"187",79303103,"Bookcases & shelving units",383.8,TRUE,"No",61,197,132
"188",80391716,"Outdoor furniture",14.4,TRUE,"Yes",NA,NA,NA
"189",50293604,"Cabinets & cupboards",15,TRUE,"No",NA,10,NA
"190",30428901,"Cabinets & cupboards",45,TRUE,"No",NA,32,32
"191",90421911,"Wardrobes",597,TRUE,"No",43,173,120
"192",99215695,"Tables & desks",405,TRUE,"Yes",NA,74,75
"193",10441729,"Sofas & armchairs",316,TRUE,"Yes",NA,NA,NA
"194",29205534,"Bookcases & shelving units",1081,TRUE,"Yes",40,192,120
"195",89214314,"Tables & desks",376,TRUE,"No",NA,74,60
"196",9301664,"TV & media furniture",2980,TRUE,"Yes",42,230,240
"197",59267653,"Outdoor furniture",1727,TRUE,"Yes",NA,73,90
"198",69282926,"Cabinets & cupboards",1570,TRUE,"Yes",40,128,120
"199",50200271,"Tables & desks",25,TRUE,"No",3,70,4
"200",39932699,"Tables & desks",550,TRUE,"Yes",NA,74,75
"201",80311828,"Outdoor furniture",125,TRUE,"No",46,83,42
"202",434277,"Tables & desks",15,TRUE,"No",NA,NA,NA
"203",89287683,"Bookcases & shelving units",428,TRUE,"No",50,226,89
"204",79282426,"Tables & desks",905,TRUE,"Yes",45,61,41
"205",99248587,"Wardrobes",1796,TRUE,"No",57,231,240
"206",79249328,"Cabinets & cupboards",600,TRUE,"No",47,117,45
"207",60443622,"TV & media furniture",150,TRUE,"No",42,NA,120
"208",79291355,"Cabinets & cupboards",1268,TRUE,"No",42,301,80
"209",90116553,"Children's furniture",179,TRUE,"No",60,68,47
"210",69221339,"Chairs",1975,TRUE,"No",NA,NA,NA
"211",79320744,"Bookcases & shelving units",1245,TRUE,"No",35,176,150
"212",79902657,"Bookcases & shelving units",554,TRUE,"No",36,NA,200
"213",89161631,"Cabinets & cupboards",508,TRUE,"No",35,70,95
"214",9306435,"Sofas & armchairs",1445,TRUE,"Yes",97,90,200
"215",10420152,"Tables & desks",495,TRUE,"No",NA,73,75
"216",39306368,"Sofas & armchairs",1195,TRUE,"Yes",97,90,200
"217",30415625,"Tables & desks",345,TRUE,"No",NA,NA,NA
"218",79221310,"Chairs",1640,TRUE,"No",NA,NA,NA
"219",80229008,"Children's furniture",645,TRUE,"No",52,139,80
"220",60403305,"Sofas & armchairs",100,TRUE,"Yes",NA,NA,NA
"221",70299879,"Bookcases & shelving units",595,TRUE,"Yes",40,64,180
"222",49151276,"Sofas & armchairs",1174,TRUE,"Yes",99,83,105
"223",29303327,"Sofas & armchairs",960,TRUE,"Yes",NA,NA,NA
"224",59305725,"Wardrobes",3394,TRUE,"Yes",66,236,150
"225",59254641,"Sofas & armchairs",745,TRUE,"Yes",98,104,71
"226",9324335,"Wardrobes",717,TRUE,"No",42,241,NA
"227",59292643,"Outdoor furniture",974,TRUE,"Yes",NA,73,71
"228",59303665,"Outdoor furniture",1773,TRUE,"Yes",82,84,161
"229",418376,"Chairs",350,TRUE,"Yes",NA,NA,60
"230",69304909,"Wardrobes",2740,TRUE,"No",57,221,240
"231",59221373,"Wardrobes",2025,TRUE,"No",NA,236,87
"232",80214549,"Tables & desks",165,TRUE,"Yes",48,55,40
"233",89272648,"Sofas & armchairs",5495,TRUE,"Yes",NA,78,242
"234",69157499,"Wardrobes",1301,TRUE,"No",55,126,124
"235",79256559,"Sofas & armchairs",4800,TRUE,"No",98,104,235
"236",30394840,"Sofas & armchairs",75,TRUE,"Yes",NA,NA,NA
"237",80213446,"Outdoor furniture",205,TRUE,"No",NA,28,63
"238",30339900,"Chairs",95,TRUE,"No",50,45,52
"239",40263853,"Bookcases & shelving units",100,TRUE,"Yes",28,35,80
"240",39129342,"Chairs",995,TRUE,"Yes",49,47,144
"241",40393661,"Chests of drawers & drawer units",299,TRUE,"No",40,112,70
"242",69297268,"Chairs",915,TRUE,"No",NA,NA,74
"243",50308002,"Nursery furniture",10,TRUE,"No",NA,10,30
"244",69277307,"Beds",1195,TRUE,"Yes",NA,NA,188
"245",99304804,"Tables & desks",595,TRUE,"No",NA,75,70
"246",20348896,"TV & media furniture",49,TRUE,"No",NA,NA,25
"247",60342072,"Cabinets & cupboards",796,TRUE,"Yes",38,110,118
"248",89256035,"Sofas & armchairs",1445,TRUE,"Yes",164,104,81
"249",49287920,"Outdoor furniture",4888,TRUE,"Yes",NA,NA,NA
"250",49289392,"Tables & desks",6614,TRUE,"Yes",NA,NA,160
"251",10411440,"Outdoor furniture",175,TRUE,"No",44,79,129
"252",79214159,"Tables & desks",111,TRUE,"Yes",NA,74,60
"253",9252673,"Children's furniture",415,TRUE,"Yes",50,64,60
"254",80418117,"Sofas & armchairs",160,TRUE,"Yes",NA,NA,NA
"255",30391714,"Outdoor furniture",75,TRUE,"Yes",NA,NA,45
"256",99296899,"Chairs",249,TRUE,"No",NA,NA,75
"257",69253033,"Outdoor furniture",29.4,TRUE,"Yes",NA,NA,NA
"258",69253047,"Nursery furniture",1225,TRUE,"Yes",50,192,150
"259",40136681,"Tables & desks",345,TRUE,"No",NA,60,NA
"260",89221475,"Chairs",1085,TRUE,"No",NA,NA,NA
"261",60426509,"Sofas & armchairs",225,TRUE,"Yes",NA,NA,NA
"262",50413526,"TV & media furniture",995,TRUE,"Yes",47,57,148
