RightAnswer,AverageGuess
51,43.70149254
37,33.19402985
63,49.21212121
38,34.48484848
42,37.84848485
49,29.56060606
60,35.01515152
30,26.95454545
75,55.1969697
58,35.5
50,37.27272727
73,62.56060606
35,29.46268657
