Response 1,Right answer 1,Response 2,Right answer 2,Response 3,Right answer 3,Response 4,Right answer 4,Response 5,Right answer 5,Response 6,Right answer 6,Response 7,Right answer 7,Response 8,Right answer 8,Response 9,Right answer 9,Response 10,Right answer 10,Response 11,Right answer 11,Response 12,Right answer 12,Response 13,Right answer 13
50,51,47,37,52,63,35,38,45,42,30,49,30,60,28,30,60,75,30,58,40,50,65,73,31,35
-,51,-,37,-,63,-,38,-,42,-,49,-,60,-,30,-,75,-,58,-,50,-,73,-,35
35,51,30,37,50,63,35,38,45,42,25,49,30,60,25,30,60,75,28,58,35,50,65,73,30,35
36,51,32,37,44,63,38,38,40,42,28,49,36,60,27,30,75,75,42,58,37,50,82,73,28,35
-,51,-,37,-,63,-,38,-,42,-,49,-,60,-,30,-,75,-,58,-,50,-,73,-,35
47,51,36,37,53,63,31,38,28,42,33,49,39,60,18,30,60,75,30,58,30,50,78,73,23,35
49,51,34,37,56,63,31,38,44,42,30,49,28,60,26,30,59,75,27,58,39,50,60,73,35,35
43,51,36,37,53,63,40,38,38,42,28,49,28,60,30,30,43,75,34,58,30,50,58,73,28,35
50,51,40,37,45,63,35,38,28,42,32,49,25,60,30,30,45,75,29,58,35,50,60,73,30,35
50,51,34,37,50,63,29,38,34,42,27,49,35,60,28,30,58,75,29,58,32,50,68,73,27,35
57,51,45,37,37,63,35,38,44,42,33,49,27,60,31,30,41,75,31,58,35,50,66,73,25,35
40,51,35,37,55,63,38,38,30,42,28,49,28,60,26,30,65,75,27,58,35,50,74,73,26,35
40,51,32,37,46,63,31,38,44,42,35,49,34,60,30,30,51,75,36,58,32,50,60,73,33,35
43,51,39,37,48,63,40,38,44,42,38,49,40,60,34,30,61,75,45,58,42,50,63,73,36,35
41,51,37,37,64,63,41,38,35,42,30,49,47,60,31,30,56,75,39,58,46,50,70,73,37,35
50,51,32,37,55,63,35,38,45,42,27,49,47,60,25,30,60,75,35,58,46,50,65,73,26,35
42,51,34,37,48,63,32,38,38,42,30,49,28,60,28,30,60,75,32,58,42,50,64,73,33,35
55,51,40,37,65,63,40,38,45,42,50,49,60,60,30,30,80,75,60,58,50,50,75,73,40,35
