"County","State","VotesTrump","VotesClinton","PercTrump","PercClinton","PercWhite","HIncome"
"Catoosa","Georgia",20860,4769,78.7,18,93.6,47087
"Catron","New Mexico",1453,426,71.4,20.9,89.8,39826
"Cattaraugus","New York",18668,8717,64.5,30.1,92.9,42603
"Cavalier","North Dakota",1356,476,68.9,24.2,97.7,55904
"Cayuga","New York",16194,12202,53.8,40.5,92.5,51581
"Cecil","Maryland",27579,12651,65.2,29.9,89.2,66689
"Cedar","Iowa",5275,3578,56.2,38.1,97.8,58088
"Cedar","Missouri",5019,1010,79.9,16.1,96.9,30302
"Cedar","Nebraska",3533,572,81,13.1,98.3,48038
"Centre","Pennsylvania",35099,36555,46.6,48.5,89.4,50336
"Cerro Gordo","Iowa",11583,9840,51.2,43.5,95,44795
"Chaffee","Colorado",5283,4773,48,43.4,93.2,46504
"Chambers","Alabama",7803,5763,56.6,41.8,58.8,32402
"Chambers","Texas",13278,2939,79.7,17.6,78.6,72489
"Champaign","Illinois",33235,49694,37.3,55.7,73.4,45808
"Champaign","Ohio",12314,4488,70,25.5,94.7,49157
"Chariton","Missouri",2948,888,74.4,22.4,96.7,39385
"Charles","Maryland",24163,46063,33.3,63.6,50.3,93160
"Charles Mix","South Dakota",2382,935,69.4,27.2,65,40102
"Charleston","South Carolina",75233,89048,42.8,50.6,64.2,50792
"Charlevoix","Michigan",8674,5137,59.5,35.3,95.6,45949
"Charlotte","Florida",60196,33421,62.5,34.7,90,44378
"Charlotte","Virginia",3479,2153,60.1,37.2,67.3,33015
"Charlottesville","Virginia",2951,17865,13.3,80.4,69.1,44601
"Charlton","Georgia",2950,1004,73.6,25,68.6,40111
"Chase","Kansas",964,313,71.8,23.3,95.4,36815
"Chase","Nebraska",1621,171,87.6,9.2,91.9,45610
"Chatham","Georgia",43649,58998,41.2,55.7,52.8,45794
"Chatham","North Carolina",17012,20953,43.5,53.6,76,57091
"Chattahoochee","Georgia",746,593,53.9,42.8,68.8,48758
"Chattooga","Georgia",6457,1612,78.3,19.5,83.9,33228
"Chautauqua","Kansas",1552,236,84.1,12.8,90.8,39529
"Chautauqua","New York",29042,17176,59.4,35.1,92.6,42429
"Chaves","New Mexico",12869,5530,63.5,27.3,70.9,39131
"Cheatham","Tennessee",11295,3877,71.4,24.5,95.6,52446
"Cheboygan","Michigan",8680,4302,63.6,31.5,93.5,38410
"Chelan","Washington",8831,6528,54.7,40.5,79.3,51354
"Chemung","New York",19025,12394,57.3,37.3,88.7,48804
"Chenango","New York",11024,5943,60.9,32.8,96.9,43941
"Cherokee","Alabama",8809,1524,83.9,14.5,92.7,34907
"Cherokee","Georgia",80611,25203,72.7,22.7,86.6,67261
"Cherokee","Iowa",4188,1676,67.7,27.1,96.6,48977
"Cherokee","Kansas",6017,1959,71.8,23.4,90.3,39746
"Cherokee","North Carolina",10711,2809,77.3,20.3,93.6,34432
"Cherokee","Oklahoma",9992,5455,60.6,33.1,52.3,37260
"Cherokee","South Carolina",15165,6089,69.7,28,75,34202
"Cherokee","Texas",12896,3466,77.2,20.8,71.7,38378
"Cherry","Nebraska",2623,317,85.1,10.3,90.7,45464
"Chesapeake","Virginia",53988,52554,48.3,47,62.6,69743
"Cheshire","New Hampshire",16876,22064,41,53.7,96.3,55155
"Chester","Pennsylvania",115582,140188,43.3,52.6,85.5,86050
"Chester","South Carolina",7272,6582,51.2,46.3,59.8,33103
"Chester","Tennessee",3827,902,78.9,18.6,87.7,41875
"Chesterfield","South Carolina",9576,7125,55.9,41.6,62.8,31252
"Chesterfield","Virginia",84938,80993,48.5,46.2,68.3,72088
"Cheyenne","Colorado",905,127,84.1,11.8,93.2,51641
"Cheyenne","Kansas",1172,188,83.2,13.3,97.7,37875
"Cheyenne","Nebraska",3610,702,79,15.4,94.1,51529
"Chickasaw","Iowa",3739,2264,58.7,35.6,97.4,43971
"Chickasaw","Mississippi",4127,3649,52.3,46.2,54,31061
"Chicot","Arkansas",1716,2350,41.1,56.3,41.2,26201
"Childress","Texas",1802,253,86.5,12.1,82,47532
"Chilton","Alabama",15068,2909,82.5,15.9,84.1,41250
"Chippewa","Michigan",9120,5378,59.1,34.8,72.3,41637
"Chippewa","Minnesota",3764,1978,60.9,32,93.5,49434
"Chippewa","Wisconsin",17912,11875,56.9,37.7,95.3,50551
"Chisago","Minnesota",18441,9279,61.5,30.9,95.8,67157
"Chittenden","Vermont",18280,54424,23.7,70.5,92.5,63989
"Choctaw","Alabama",4102,3109,56.4,42.8,55.8,33941
"Choctaw","Mississippi",2757,1193,68.8,29.8,68.4,29876
"Choctaw","Oklahoma",4202,1064,77.5,19.6,64.9,30201
"Chouteau","Montana",1676,729,64.9,28.2,75.8,40070
"Chowan","North Carolina",3983,2965,56,41.7,62,34420
"Christian","Illinois",10522,3982,68.7,26,96.6,45145
"Christian","Kentucky",14108,7188,63.9,32.5,71.5,38904
"Christian","Missouri",30941,8505,74.7,20.5,95.7,52838
"Churchill","Nevada",7828,2210,71.6,20.2,82,49830
"Cibola","New Mexico",3179,3721,39.7,46.4,41.8,37237
"Cimarron","Oklahoma",962,70,89.3,6.5,84.7,38301
"Citrus","Florida",54377,22765,68.3,28.6,93,39100
"Clackamas","Oregon",79062,90187,43.4,49.5,88.2,64352
"Claiborne","Louisiana",3585,2717,55.8,42.3,47.5,32996
"Claiborne","Mississippi",414,2523,14,85.4,14.2,23689
"Claiborne","Tennessee",8589,1831,80.2,17.1,96.9,33229
"Clallam","Washington",12012,12331,46.6,47.8,87,46033
"Clare","Michigan",8507,4250,63.6,31.8,96.8,32668
"Clarendon","South Carolina",7246,7635,47.8,50.4,47,31410
"Clarion","Pennsylvania",12545,4256,71.8,24.3,97.2,42389
"Clark","Arkansas",4398,3606,51.7,42.4,71.8,32721
"Clark","Idaho",203,44,71.7,15.5,72.4,33200
"Clark","Illinois",5620,1873,71.9,24,98.1,47405
"Clark","Indiana",30012,18791,58.7,36.8,87.1,50496
"Clark","Kansas",813,118,82.7,12,92.4,41129
"Clark","Kentucky",10710,4706,66.1,29,92.2,45853
"Clark","Missouri",2458,724,74.1,21.8,98.2,40204
"Clark","Nevada",319571,401068,41.8,52.4,60.9,52873
"Clark","Ohio",34311,22666,57.5,38,86.3,43136
"Clark","South Dakota",1139,398,68.7,24,98.1,49055
"Clark","Washington",74136,77270,45.7,47.7,85.4,58225
"Clark","Wisconsin",8645,4225,63.8,31.2,96.1,43276
"Clarke","Alabama",7109,5712,55,44.2,54.5,29357
"Clarke","Georgia",12691,29514,28.7,66.7,61.9,33060
"Clarke","Iowa",2706,1463,61.4,33.2,94.3,43216
"Clarke","Mississippi",5088,2556,66,33.1,64.2,31362
"Clarke","Virginia",4657,3047,57.3,37.5,90.2,77597
"Clatsop","Oregon",7794,8899,42.9,49,90.9,44683
"Clay","Alabama",5230,1234,79.6,18.8,81.7,34002
"Clay","Arkansas",3779,1999,63,33.3,97.5,31502
"Clay","Florida",74898,27768,70.4,26.1,81.8,59482
"Clay","Georgia",566,697,44.5,54.8,37.6,21192
"Clay","Illinois",5009,1014,79.8,16.2,97.7,40640
"Clay","Indiana",8528,2306,75.7,20.5,97.8,46430
"Clay","Iowa",5870,2246,68.7,26.3,96.5,49035
"Clay","Kansas",2831,665,76,17.8,97.3,45233
"Clay","Kentucky",5861,752,86.6,11.1,94.2,21883
"Clay","Minnesota",13526,12952,46.5,44.6,92.7,52410
"Clay","Mississippi",4136,5695,41.5,57.2,40.5,30764
"Clay","Missouri",57328,45182,52.5,41.4,87.5,60936
"Clay","Nebraska",2373,470,79.8,15.8,93,46784
"Clay","North Carolina",4395,1352,74.7,23,96.6,38828
"Clay","South Dakota",2109,2608,41.6,51.4,91.1,38173
"Clay","Tennessee",2140,707,73.3,24.2,96.5,29727
"Clay","Texas",4376,536,87.3,10.7,95.1,53776
"Clay","West Virginia",2289,566,77.4,19.1,98.8,31613
"Clayton","Georgia",11740,75908,13.2,85.1,18.9,40606
"Clayton","Iowa",5309,3236,58.4,35.6,97.8,47494
"Clear Creek","Colorado",2426,2585,43.9,46.7,95.3,67259
"Clearfield","Pennsylvania",23909,7700,73.1,23.6,95.4,41030
"Clearwater","Idaho",2852,704,75,18.5,93.9,40134
"Clearwater","Minnesota",2925,1100,69.2,26,87.2,43269
"Cleburne","Alabama",5738,684,87.8,10.5,94,38019
"Cleburne","Arkansas",9454,2101,78.3,17.4,96.8,40246
"Clermont","Ohio",65960,26096,68.4,27.1,95.9,60365
"Cleveland","Arkansas",2460,723,73.4,21.6,85.8,39420
"Cleveland","North Carolina",28394,14896,64.3,33.7,75.6,38989
"Cleveland","Oklahoma",62469,38790,57.1,35.5,79.3,54989
"Clinch","Georgia",1724,685,70.6,28,67.4,30345
"Clinton","Illinois",12394,3939,71.8,22.8,93.4,61720
"Clinton","Indiana",8530,2819,71.7,23.7,91,48953
"Clinton","Iowa",11249,10079,49.5,44.3,94,49559
"Clinton","Kentucky",3809,547,85.4,12.3,96.7,27100
"Clinton","Michigan",21635,16490,53.3,40.7,92.9,60466
"Clinton","Missouri",7058,2572,69.2,25.2,95.5,53826
"Clinton","New York",13181,13446,46.4,47.4,92.5,50282
"Clinton","Ohio",13466,3943,74.4,21.8,94.7,46048
"Clinton","Pennsylvania",9701,4533,65.4,30.5,96.5,42184
"Cloud","Kansas",2856,744,74.5,19.4,96.4,38534
"Coahoma","Mississippi",2094,5954,25.7,73.1,22.9,26407
"Coal","Oklahoma",1892,411,79.1,17.2,74.3,34867
"Cobb","Georgia",152602,159416,46.7,48.8,62.2,63920
"Cochise","Arizona",25036,15291,58,35.4,78.5,45755
"Cochran","Texas",679,190,75.4,21.1,73.2,38650
"Cocke","Tennessee",9791,1980,80.9,16.4,95.1,30573
"Coconino","Arizona",16573,25308,36.9,56.3,61.7,49555
"Codington","South Dakota",7764,3174,66.5,27.2,95.3,47214
"Coffee","Alabama",15825,4194,77.1,20.4,74.7,43768
"Coffee","Georgia",9575,4090,68.9,29.4,64.7,35693
"Coffee","Tennessee",14409,4741,72.4,23.8,92,37618
"Coffey","Kansas",2990,719,75.5,18.1,96.5,51793
"Coke","Texas",1265,140,88.9,9.8,91.4,40795
"Colbert","Alabama",16718,7296,67.9,29.6,80.5,39077
"Cole","Missouri",24610,10907,66,29.3,84.4,53931
"Coleman","Texas",3177,387,87.4,10.6,88.2,31373
"Coles","Illinois",12985,7285,60.2,33.8,92.9,37040
"Colfax","Nebraska",2171,857,68.4,27,72.6,51765
"Colfax","New Mexico",2569,2118,48.5,39.9,83.8,37734
"Colleton","South Carolina",9083,7616,52.7,44.2,57,33233
"Collier","Florida",105297,60941,61.8,35.7,83.9,55843
"Collin","Texas",200395,139837,56.2,39.2,71.6,82762
"Collingsworth","Texas",983,145,85.2,12.6,76.5,41576
"Colonial Heights","Virginia",5681,2367,67.4,28.1,82.3,50835
"Colorado","Texas",6323,1977,74.6,23.3,75.1,45146
"Colquitt","Georgia",9892,3460,72.8,25.5,64.7,32484
"Columbia","Arkansas",5456,3140,61.4,35.3,59.9,35128
"Columbia","Florida",20359,7599,70.9,26.5,77.9,38070
"Columbia","Georgia",43060,18863,67.1,29.4,76.5,69306
"Columbia","New York",12756,13123,46.8,48.1,90.6,57336
"Columbia","Oregon",12967,9959,51.7,39.7,92.5,54968
"Columbia","Pennsylvania",17387,8502,64.1,31.3,95.4,44807
"Columbia","Washington",1359,482,69,24.5,93,42519
"Columbia","Wisconsin",14160,13525,48.3,46.2,95.8,57922
"Columbiana","Ohio",31086,12273,68.7,27.1,95.5,42300
"Columbus","North Carolina",14177,8991,60.4,38.3,61.5,35761
"Colusa","California",2709,1832,56.4,38.2,64.7,52158
"Comal","Texas",44996,14166,73.1,23,89.5,65839
"Comanche","Kansas",705,102,82.3,11.9,96.5,39375
"Comanche","Oklahoma",19153,11439,58.9,35.2,64.5,46036
"Comanche","Texas",4300,788,82.6,15.1,88.9,36020
"Concho","Texas",885,148,82.9,13.9,86.9,51411
"Concordia","Louisiana",5474,3272,61.7,36.9,57.4,29022
"Conecuh","Alabama",3413,3069,52.2,46.9,51.3,24658
"Conejos","Colorado",1885,1753,47.5,44.2,76.2,34526
"Contra Costa","California",76743,201936,26.1,68.7,58.6,78756
"Converse","Wyoming",5520,668,84.2,10.2,95.1,63918
"Conway","Arkansas",4844,2655,61.2,33.5,84.2,35225
"Cook","Georgia",4175,1752,69.1,29,67,34985
"Cook","Illinois",440213,1528582,21.4,74.4,55.4,54548
"Cook","Minnesota",1156,1912,34.4,56.9,88.1,52215
"Cooke","Texas",13174,2345,82.9,14.8,85.7,50067
"Cooper","Missouri",5623,1932,70.5,24.2,90.4,45992
"Coos","New Hampshire",7951,6558,52.1,42.9,96.9,41985
"Coos","Oregon",17699,10355,58.6,34.3,89.8,37940
"Coosa","Alabama",3376,1780,64.6,34.1,66.3,37277
"Copiah","Mississippi",5576,6203,46.8,52.1,46.3,35421
"Corson","South Dakota",588,535,50,45.5,29.7,30880
"Cortland","New York",9207,7976,50,43.3,95.1,47151
"Coryell","Texas",12212,5057,67.4,27.9,70.3,49819
"Coshocton","Ohio",10381,3908,69.4,26.1,97,41274
"Costilla","Colorado",581,1109,31.9,60.9,68,29145
"Cottle","Texas",486,84,83.4,14.4,80.5,34639
"Cotton","Oklahoma",2054,424,78.9,16.3,81.3,46317
"Cottonwood","Minnesota",3679,1678,64.6,29.5,92.2,45294
"Covington","Alabama",13222,2379,83.6,15,84.8,35869
"Covington","Mississippi",5423,3267,61.7,37.2,63,33381
"Covington","Virginia",1349,914,56.9,38.6,84.1,34319
"Coweta","Georgia",42513,16572,69.3,27,75.9,60813
"Cowley","Kansas",8016,3436,65.9,28.2,86.2,41878
"Cowlitz","Washington",12887,10511,52,42.4,88.9,47596
"Craig","Oklahoma",4279,1249,74.1,21.6,66.7,39236
"Craig","Virginia",2139,541,76.8,19.4,98.7,47806
"Craighead","Arkansas",22798,10474,64.4,29.6,81.2,41393
"Crane","Texas",1047,299,75.8,21.7,74.1,50417
"Craven","North Carolina",27556,17481,59.6,37.8,70,47141
"Crawford","Arkansas",16655,4476,74.3,20,89.1,39479
"Crawford","Georgia",3632,1419,70.4,27.5,74.6,41586
"Crawford","Illinois",6146,1969,72.2,23.1,92.8,46216
"Crawford","Indiana",3013,1323,65.6,28.8,97.4,39700
"Crawford","Iowa",4608,1985,67.2,28.9,82.9,46548
"Crawford","Kansas",8394,5064,58.3,35.2,91.2,37378
"Crawford","Michigan",4354,2110,63.7,30.9,97.5,40295
"Crawford","Missouri",7724,1824,77.9,18.4,97.3,35897
"Crawford","Ohio",13265,4518,70.9,24.2,97.2,40783
"Crawford","Pennsylvania",23912,10215,67.2,28.7,96.3,42504
"Crawford","Wisconsin",3844,3426,50.1,44.6,96.6,42235
"Creek","Oklahoma",21539,5834,74.8,20.3,79.7,43026
"Crenshaw","Alabama",4511,1663,72.2,26.6,72.6,36275
"Crisp","Georgia",4539,2835,60.5,37.8,53.3,35240
"Crittenden","Arkansas",6953,8368,43.7,52.6,46.1,37751
"Crittenden","Kentucky",3290,617,81.5,15.3,97.7,34261
"Crockett","Tennessee",3977,1302,73.8,24.2,78.7,36066
"Crockett","Texas",980,372,70.3,26.7,83.1,50475
"Crook","Oregon",8388,2591,72.1,22.3,92.7,38795
"Crook","Wyoming",3347,271,88.8,7.2,97.2,53237
"Crosby","Texas",1180,468,68.9,27.3,79,38187
"Cross","Arkansas",4577,1995,66.7,29.1,75.5,38085
"Crow Wing","Minnesota",22287,10982,62.7,30.9,96.6,47058
"Crowley","Colorado",1069,336,70.7,22.2,77.4,31477
"Culberson","Texas",280,454,36.7,59.6,78.9,37105
"Cullman","Alabama",32734,3730,87.8,10,94.7,38847
"Culpeper","Virginia",13341,7744,60.4,35.1,75.1,64423
"Cumberland","Illinois",4200,1028,76.2,18.6,98.3,43958
"Cumberland","Kentucky",2502,459,81.6,15,95.4,31593
"Cumberland","Maine",56830,101235,33.7,60.1,92.8,57461
"Cumberland","New Jersey",23363,26090,45.7,51,62.7,50750
"Cumberland","North Carolina",50593,70523,40.7,56.7,51.4,45231
"Cumberland","Pennsylvania",65649,44282,57.1,38.5,90.9,60826
"Cumberland","Tennessee",20410,5202,77.6,19.8,96.8,37188
"Cumberland","Virginia",2693,2032,55.2,41.7,63.9,40557
"Cuming","Nebraska",3095,712,77.6,17.9,93.2,47500
"Currituck","North Carolina",9070,2879,73,23.2,90.3,57159
"Curry","New Mexico",7560,2776,66.4,24.4,69.7,39871
"Curry","Oregon",7157,4253,58.8,35,92,39516
"Custer","Colorado",2059,797,67.2,26,95.3,32427
"Custer","Idaho",1777,427,73.6,17.7,96.4,39541
"Custer","Montana",3638,1172,70.5,22.7,95.5,43524
"Custer","Nebraska",4616,635,84.1,11.6,97.5,44873
"Custer","Oklahoma",7818,2102,74.2,20,78.1,44972
"Custer","South Dakota",3290,1120,69.8,23.7,94.2,50074
"Cuyahoga","Ohio",179894,383974,30.8,65.8,63.6,43804
"Dade","Georgia",5047,965,80.9,15.5,96,43205
"Dade","Missouri",3184,637,80.6,16.1,96,35483
"Daggett","Utah",327,76,70.3,16.3,95.9,46917
"Dakota","Minnesota",97919,107665,43.7,48,85.2,73732
"Dakota","Nebraska",4028,2904,55.5,40,70.5,47069
"Dale","Alabama",13798,4408,74.1,23.7,74.1,44889
"Dallam","Texas",1258,222,82,14.5,80.1,40895
"Dallas","Alabama",5784,12826,30.9,68.5,29.1,26519
"Dallas","Arkansas",1507,1165,54.4,42.1,55.2,28931
"Dallas","Iowa",19288,15662,51.3,41.6,92.2,73847
"Dallas","Missouri",5895,1271,79.2,17.1,96.5,40120
"Dallas","Texas",261865,458845,34.9,61.1,53.5,49481
"Dane","Wisconsin",71270,217506,23.4,71.4,84.7,61721
"Daniels","Montana",729,167,76.6,17.5,95.7,46100
"Danville","Virginia",7306,11051,38.7,58.6,47.7,30786
"Dare","North Carolina",11283,7079,59.4,37.2,92.3,55481
"Darke","Ohio",19698,4395,78.8,17.6,97.8,43425
"Darlington","South Carolina",14973,13866,50.5,46.8,55.9,36323
"Dauphin","Pennsylvania",60620,64287,46.6,49.4,72.7,54066
"Davidson","North Carolina",52870,17328,73.4,24.1,84.3,43083
"Davidson","Tennessee",84365,148473,34.3,60.3,61.4,47335
"Davie","North Carolina",15502,5228,72.6,24.5,87.5,50139
"Daviess","Indiana",8545,1800,79.6,16.8,95,47165
"Daviess","Kentucky",28907,14163,63.1,30.9,91.2,46555
"Daviess","Missouri",2763,730,74.9,19.8,98,42393
"Davis","Iowa",2721,976,70.5,25.3,98.4,45040
"Davis","Utah",39047,19458,44.9,22.4,90,69707
"Davison","South Dakota",5157,2355,64.9,29.6,94.4,48341
"Dawes","Nebraska",2559,785,71.5,21.9,89.4,40359
"Dawson","Georgia",9880,1444,84.6,12.4,95.6,53525
"Dawson","Montana",3298,786,76.6,18.3,95.7,50405
"Dawson","Nebraska",5935,2116,69.9,24.9,78,46078
"Dawson","Texas",2636,835,74,23.4,76.7,39714
"Day","South Dakota",1627,974,59.2,35.5,88.1,39761
"De Baca","New Mexico",617,192,68.2,21.2,87.3,37660
"Deaf Smith","Texas",2911,1185,69.3,28.2,77.8,41444
"Dearborn","Indiana",18110,4883,75.7,20.4,97.5,56946
"Decatur","Georgia",6009,4104,58.7,40.1,54.2,30619
"Decatur","Indiana",8488,2121,76.5,19.1,97.3,48047
"Decatur","Iowa",2296,1201,62,32.4,95.4,36326
"Decatur","Kansas",1220,178,83.6,12.2,97.4,39333
"Decatur","Tennessee",3580,894,78.2,19.5,94.7,36258
"Deer Lodge","Montana",1736,2018,42.1,49,93.1,38958
"Defiance","Ohio",11478,5282,64.5,29.7,92.8,47593
"DeKalb","Alabama",21779,3682,83.5,14.1,84.5,37851
"DeKalb","Georgia",47531,239131,16.1,80.8,33.3,50856
"DeKalb","Illinois",19051,20348,44.7,47.8,85.1,53375
"DeKalb","Indiana",12054,3941,71.7,23.4,96.9,47247
"DeKalb","Missouri",3540,824,77.1,18,86.9,44092
"DeKalb","Tennessee",5164,1566,74.4,22.6,92.7,37482
"Del Norte","California",4370,2997,55,37.7,73.7,37909
"Delaware","Indiana",24217,18100,54.2,40.5,89.1,37474
"Delaware","Iowa",5688,2956,62.1,32.3,98.6,54076
"Delaware","New York",11012,5825,61.9,32.8,95.2,44470
"Delaware","Ohio",55660,39584,55.6,39.5,89.7,89757
"Delaware","Oklahoma",11796,3306,75.2,21.1,67,36588
"Delaware","Pennsylvania",106559,169169,37.4,59.4,72.5,64041
"Delta","Colorado",11584,4048,69.5,24.3,89.7,42078
"Delta","Michigan",11112,6431,60.2,34.8,94.7,42676
"Delta","Texas",1836,400,80.6,17.6,85.3,40375
"Dent","Missouri",5599,978,82.6,14.4,96.6,36311
"Denton","Texas",169175,110000,57.7,37.5,75,74155
"Denver","Colorado",38366,154599,18.8,75.6,68.9,50313
"Des Moines","Iowa",9479,8178,50.7,43.7,91,42451
"Deschutes","Oregon",43667,40222,48.2,44.4,92.2,50209
"Desha","Arkansas",1915,2227,45,52.4,47.9,28680
"DeSoto","Florida",6744,3761,62.7,35,66.2,34963
"DeSoto","Mississippi",42155,19892,65.8,31.1,72.2,58505
"Deuel","Nebraska",809,120,82.8,12.3,97,44922
"Deuel","South Dakota",1366,570,65.7,27.4,97.5,51632
"Dewey","Oklahoma",1964,222,87.4,9.9,89.1,46488
"Dewey","South Dakota",723,887,42.4,52,21,30710
"DeWitt","Texas",5510,1161,80.8,17,75.7,46454
"Dickens","Texas",755,128,83.1,14.1,84,38401
"Dickenson","Virginia",4932,1335,77,20.8,98.8,33318
"Dickey","North Dakota",1656,551,69.8,23.2,96.5,47359
"Dickinson","Iowa",6743,3051,65.8,29.8,98.3,56136
"Dickinson","Kansas",5905,1582,73.7,19.8,95.1,48890
"Dickinson","Michigan",8580,3923,65.3,29.9,97.2,44136
"Dickson","Tennessee",13213,4718,71,25.3,91.8,44318
"Dillon","South Carolina",5637,5832,48.2,49.9,48,28817
"Dimmit","Texas",974,2173,30.2,67.4,88.6,36681
"Dinwiddie","Virginia",7447,5765,55,42.6,63.9,52027
"Divide","North Dakota",860,243,72.5,20.5,98,55057
"Dixie","Florida",5822,1270,80.8,17.6,88.8,33981
"Dixon","Nebraska",2041,556,74.4,20.3,92.5,47325
"Doddridge","West Virginia",2347,360,83.1,12.7,97,34817
"Dodge","Georgia",5021,1836,71.8,26.2,66.8,37292
"Dodge","Minnesota",6527,3102,61.8,29.4,96.1,69301
"Dodge","Nebraska",9736,4451,65.1,29.8,90.9,48626
"Dodge","Wisconsin",26643,13968,62.2,32.6,93.8,53075
"Dolores","Colorado",936,227,76.1,18.5,93,37750
"Doniphan","Kansas",2601,584,77.3,17.3,93.1,46512
"Donley","Texas",1225,190,83.9,13,89.9,42411
"Dooly","Georgia",1941,1860,50.6,48.5,45.6,29012
"Door","Wisconsin",8584,8026,49.3,46.1,96.6,50438
"Dorchester","Maryland",7938,5695,56.6,40.6,67.6,46361
"Dorchester","South Carolina",34932,24010,55.9,38.4,67.8,53857
"Dougherty","Georgia",10227,23224,30.1,68.5,29.6,31671
"Douglas","Colorado",100178,67045,54.8,36.7,90.2,101591
"Douglas","Georgia",24803,30971,43.2,54,52.5,52691
"Douglas","Illinois",5695,1946,70.4,24.1,95.7,52741
"Douglas","Kansas",14308,30089,29.7,62.4,84.5,49508
"Douglas","Minnesota",13966,6227,64.6,28.8,97.7,50905
"Douglas","Missouri",5486,984,82.3,14.8,97.1,32130
"Douglas","Nebraska",102151,105207,46.5,47.9,76.4,53325
"Douglas","Nevada",17406,8453,62.5,30.3,89.6,60100
"Douglas","Oregon",34112,13891,66.4,27.1,92.4,40524
"Douglas","South Dakota",1338,214,83.4,13.3,96.6,49200
"Douglas","Washington",3336,1755,62.2,32.7,79.6,51908
"Douglas","Wisconsin",9657,11342,43.5,51.1,93.2,45418
"Drew","Arkansas",3967,2364,60.2,35.9,68.8,31171
"Dubois","Indiana",13365,5389,67.1,27.1,95.1,54780
"Dubuque","Iowa",23384,22774,47.7,46.4,94.1,51475
"Duchesne","Utah",5482,498,79.5,7.2,89.2,57683
"Dukes","Massachusetts",2474,8338,21.6,72.9,87.6,66288
"Dundy","Nebraska",823,89,86.7,9.4,95.3,47431
"Dunklin","Missouri",8026,2360,75.9,22.3,85.1,31304
"Dunn","North Dakota",1753,356,79.7,16.2,84.9,60500
"Dunn","Wisconsin",11487,9025,52.1,41,94.7,48893
"DuPage","Illinois",164355,222499,39.8,53.9,77.9,78487
"Duplin","North Carolina",12151,8196,59,39.8,57.2,34433
"Durham","North Carolina",27879,118783,18.5,78.9,46.4,51853
"Dutchess","New York",58163,56874,48.4,47.3,80.1,72525
"Duval","Florida",210061,203627,49,47.5,60.9,48323
"Duval","Texas",1316,2783,31.6,66.9,87,34131
"Dyer","Tennessee",10175,2815,76.6,21.2,82,38953
"Eagle","Colorado",8153,12652,36.1,56,83.2,74456
"Early","Georgia",2552,2165,53.4,45.3,48.4,28853
"East Baton Rouge","Louisiana",84620,102711,43.1,52.3,48.8,48506
"East Carroll","Louisiana",1059,1838,36,62.5,28.9,25321
"East Feliciana","Louisiana",5569,4235,55.5,42.2,53.2,47225
"Eastland","Texas",6008,776,86.6,11.2,89.9,34914
"Eaton","Michigan",27608,24534,49.6,44.1,87.8,54115
"Eau Claire","Wisconsin",23301,27271,43.1,50.4,93.1,48090
"Echols","Georgia",1006,156,85.6,13.3,74.9,31375
"Ector","Texas",24976,10225,68.7,28.1,76.3,51466
"Eddy","New Mexico",13124,5008,67,25.5,77.4,49165
"Eddy","North Dakota",790,354,64.8,29,95.2,44250
"Edgar","Illinois",5634,1778,72.4,22.8,98.3,42133
"Edgecombe","North Carolina",8219,16152,33.3,65.5,38.8,33960
"Edgefield","South Carolina",6842,4491,58.8,38.6,58.6,43861
"Edmonson","Kentucky",4135,979,78.9,18.7,96.9,37646
"Edmunds","South Dakota",1433,380,74.7,19.8,97.8,49831
"Edwards","Illinois",2777,432,83.8,13,98,39075
"Edwards","Kansas",1033,208,79,15.9,90.8,46551
"Edwards","Texas",741,302,69.6,28.4,86.9,43839
"Effingham","Georgia",17865,4851,76.4,20.7,82.6,63030
"Effingham","Illinois",13613,3071,78.1,17.6,97.6,52108
"El Dorado","California",37286,28026,53.4,40.1,86.6,69297
"El Paso","Colorado",176506,105807,56.3,33.8,79.8,57125
"El Paso","Texas",54567,145509,25.9,69.1,82.1,40157
"Elbert","Colorado",11536,3056,73.5,19.5,94.7,82118
"Elbert","Georgia",5269,2507,66.6,31.7,65.9,35817
"Elk","Kansas",1048,160,83.2,12.7,95.1,34089
"Elk","Pennsylvania",9704,3637,70,26.3,98.5,45767
"Elkhart","Indiana",41810,20667,64.1,31.7,82.9,45693
"Elko","Nevada",13542,3400,73,18.3,79.4,70238
"Elliott","Kentucky",2000,740,70.1,25.9,95.6,24246
"Ellis","Kansas",8311,2669,71.3,22.9,93.8,43085
"Ellis","Oklahoma",1610,155,88.2,8.5,94.4,47344
"Ellis","Texas",44807,16197,71.1,25.7,78.6,61952
"Ellsworth","Kansas",1933,515,73.6,19.6,92.2,45865
"Elmore","Alabama",27619,8436,74.8,22.9,76.2,54766
"Elmore","Idaho",5816,1814,68.3,21.3,82.2,42842
"Emanuel","Georgia",5330,2433,68,31,61.6,32046
"Emery","Utah",3402,379,79.8,8.9,93.9,52763
"Emmet","Iowa",3121,1356,66.3,28.8,93.1,48601
"Emmet","Michigan",10616,6972,56.5,37.1,92.9,50929
"Emmons","North Dakota",1672,215,85.3,11,98.5,38477
"Emporia","Virginia",792,1531,33.5,64.7,32.7,32155
"Erath","Texas",11205,2159,81.1,15.6,85.6,39586
"Erie","New York",173817,192065,45.4,50.1,80,50653
