"County","State","VotesTrump","VotesClinton","PercTrump","PercClinton","PercWhite","HIncome"
"Attala","Mississippi",4288,2847,59.2,39.3,56.2,31641
"Audrain","Missouri",6981,2567,69.5,25.6,89.8,43013
"Audubon","Iowa",2135,1079,63.2,31.9,98.6,48313
"Auglaize","Ohio",18130,3825,79.3,16.7,97.8,52239
"Augusta","Virginia",26152,8108,71.3,22.1,93.4,52027
"Aurora","South Dakota",974,340,69.2,24.2,95.1,46667
"Austin","Texas",9637,2319,78.6,18.9,78.8,53265
"Autauga","Alabama",18110,5908,73.4,24,78.5,53682
"Avery","North Carolina",6226,1670,77.2,20.7,91.9,36969
"Avoyelles","Louisiana",11163,5032,67.3,30.3,67,33942
"Baca","Colorado",1716,278,81.4,13.2,92.6,38829
"Bacon","Georgia",3356,607,83.7,15.1,78.6,33757
"Bailey","Texas",1343,397,75.3,22.3,75.3,46139
"Baker","Florida",10294,2112,81.5,16.7,83.7,49236
"Baker","Georgia",775,650,53.8,45.1,48.5,27353
"Baker","Oregon",6160,1781,72.7,21,94.6,41500
"Baldwin","Alabama",72780,18409,77.4,19.6,85.7,50221
"Baldwin","Georgia",7691,7965,47.8,49.5,54.9,32751
"Ballard","Kentucky",3161,816,77.1,19.9,94.7,44588
"Baltimore","Maryland",131009,189437,39.1,56.5,64.6,66486
"Baltimore","Maryland",131009,189437,39.1,56.5,64.6,41385
"Baltimore","Maryland",131009,189437,39.1,56.5,64.6,66486
"Baltimore","Maryland",131009,189437,39.1,56.5,64.6,41385
"Baltimore","Maryland",22726,178562,10.9,85.4,64.6,66486
"Baltimore","Maryland",22726,178562,10.9,85.4,64.6,41385
"Baltimore","Maryland",22726,178562,10.9,85.4,64.6,66486
"Baltimore","Maryland",22726,178562,10.9,85.4,64.6,41385
"Bamberg","South Carolina",2197,3886,35.5,62.7,36.1,31483
"Bandera","Texas",8159,1726,79.9,16.9,92.8,49215
"Banks","Georgia",6130,684,88.3,9.8,91.7,41141
"Banner","Nebraska",355,18,91,4.6,95.7,36875
"Bannock","Idaho",17180,10342,51.4,31,89.8,43534
"Baraga","Michigan",2158,1156,61.9,33.2,75,41189
"Barber","Kansas",1822,281,82.5,12.7,96.1,45920
"Barbour","Alabama",5431,4848,52.3,46.7,48,32911
"Barbour","West Virginia",4509,1213,74.9,20.1,96.8,37327
"Barnes","North Dakota",3156,1597,60.1,30.4,96.4,50274
"Barnstable","Massachusetts",53842,71632,40.6,54,92.7,60526
"Barnwell","South Carolina",4888,4395,51.6,46.4,52.6,35231
"Barren","Kentucky",13483,4275,72.9,23.1,92.5,38873
"Barron","Wisconsin",13595,7881,60.4,35,96.1,44054
"Barrow","Georgia",21105,6580,73.2,22.8,78.8,53274
"Barry","Michigan",19197,9109,63.4,30.1,96.9,52186
"Barry","Missouri",11427,2710,78.2,18.6,92.1,38710
"Bartholomew","Indiana",20637,9841,63.7,30.4,89.6,54165
"Barton","Kansas",7766,1823,77,18.1,88.8,44981
"Barton","Missouri",4958,795,83.6,13.4,95,40580
"Bartow","Georgia",29879,8204,76.1,20.9,82.7,47197
"Bastrop","Texas",16314,10555,57.7,37.4,73.8,51750
"Bates","Missouri",6000,1617,74.8,20.2,96.6,38579
"Bath","Kentucky",3082,1361,67.2,29.7,96.4,30797
"Bath","Virginia",1548,603,69,26.9,93.7,51365
"Baxter","Arkansas",14655,4163,74.3,21.1,96.9,35343
"Bay","Florida",62010,21689,71.2,24.9,82.2,47461
"Bay","Michigan",28327,21641,53.5,40.9,94.1,45376
"Bayfield","Wisconsin",4125,4953,43.5,52.2,86.7,44944
"Baylor","Texas",1267,191,84.9,12.8,91.5,33445
"Beadle","South Dakota",4455,1912,65.8,28.2,89.7,42196
"Bear Lake","Idaho",2203,255,75.2,8.7,96.3,44964
"Beaufort","North Carolina",14478,8699,61.4,36.9,68.2,40429
"Beaufort","South Carolina",39986,29577,54.9,40.6,71.9,57316
"Beauregard","Louisiana",12238,2393,81.2,15.9,82.2,46385
"Beaver","Oklahoma",1987,176,88.8,7.9,82.8,51422
"Beaver","Pennsylvania",46081,30225,58.3,38.2,91.2,49217
"Beaver","Utah",1800,258,74,10.6,89,46660
"Beaverhead","Montana",3243,1115,69.1,23.8,94.8,41614
"Becker","Minnesota",10880,5208,63.7,30.5,88.4,50214
"Beckham","Oklahoma",6287,958,83.5,12.7,85,48989
"Bedford","Pennsylvania",19455,3613,82.8,15.4,98,43290
"Bedford","Tennessee",11455,3384,74.9,22.1,81.8,40759
"Bedford","Virginia",30578,9733,72.5,23.1,76.4,35593
"Bedford","Virginia",30578,9733,72.5,23.1,76.4,57596
"Bedford","Virginia",30578,9733,72.5,23.1,76.4,35593
"Bedford","Virginia",30578,9733,72.5,23.1,76.4,57596
"Bedford","Virginia",30578,9733,72.5,23.1,91.4,35593
"Bedford","Virginia",30578,9733,72.5,23.1,91.4,57596
"Bedford","Virginia",30578,9733,72.5,23.1,91.4,35593
"Bedford","Virginia",30578,9733,72.5,23.1,91.4,57596
"Bee","Texas",4743,3443,56.1,40.7,78.8,43690
"Belknap","New Hampshire",19315,13517,56,39.2,96.6,58654
"Bell","Kentucky",7764,1720,79.9,17.7,95.6,26228
"Bell","Texas",51780,37608,55.1,40,61.4,50060
"Belmont","Ohio",20729,8652,67.9,28.3,94,41534
"Beltrami","Minnesota",10783,8688,50.6,40.8,75.1,43231
"Ben Hill","Georgia",3734,2098,63,35.4,59.2,28547
"Benewah","Idaho",3101,780,74,18.6,86.6,39049
"Bennett","South Dakota",666,412,58,35.9,33.7,37607
"Bennington","Vermont",5923,9538,36.2,58.4,96.6,50221
"Benson","North Dakota",927,842,47.8,43.4,43.4,36491
"Bent","Colorado",1166,581,61.6,30.7,79.2,37340
"Benton","Arkansas",60751,27894,62.9,28.9,82.6,54515
"Benton","Indiana",2579,860,70.6,23.5,95.9,48711
"Benton","Iowa",8226,4672,60.1,34.1,98.1,56669
"Benton","Minnesota",12872,5640,64.6,28.3,94.5,52200
"Benton","Mississippi",2239,1704,56.2,42.7,60.5,31060
"Benton","Missouri",7212,2024,75.3,21.1,97.1,32951
"Benton","Oregon",13030,28431,28.6,62.4,87.1,48604
"Benton","Tennessee",4715,1474,74.6,23.3,95.4,33033
