Years,Weeks,Log.Rain,Mean.Temp,Humidity,Wind.Dir.Speed,ln(SO2)
1991,10,0.182321557,4.5,86.57142857,139.441911,1.078294006
1991,12,3.254242969,7.757142857,78.71428571,-80.26302222,0.693976319
1991,13,2.104134154,1.414285714,83.14285714,-0.986704229,1.45216104
1991,14,2.766319109,7.971428571,78.19047619,-129.5511079,0.708327804
1991,15,0.641853886,7.614285714,67.47619048,-0.308040882,1.188550076
1991,16,1.791759469,1.671428571,75,-54.20238983,1.330114847
1991,17,1.808288771,5.757142857,75.42857143,165.5290054,0.907910975
1991,18,3.632309103,6.742857143,82.47619048,-63.95347026,0.946078397
1991,19,0.641853886,8.385714286,72.95238095,33.34947299,1.365229035
1991,20,1.808288771,7.228571429,67.47619048,-34.43653269,0.75444978
1991,21,2.302585093,8.114285714,70.57142857,-51.15134644,1.391718871
1991,22,1.098612289,12.67142857,57.9047619,-47.62766454,0.837283394
1991,23,2.681021529,12.65714286,64.47619048,-117.1548507,0.255812308
1991,24,3.363841595,15.35714286,67.95238095,-110.091408,-0.152996417
1991,25,2.624668592,14.88571429,69.14285714,-107.4482788,0.14951845
1991,26,3.653252276,14.82857143,72,-100.8992716,-0.0170479
1991,27,-0.916290732,19.97142857,66,34.94891737,0.584028331
1991,29,-1.203972804,16.95714286,68.28571429,-87.76804433,0.540844565
1991,30,3.728100167,16.2,72,-13.17054306,0.639925205
1991,31,4.201703081,17.81428571,83.71428571,-3.914269223,0.832000278
1991,32,-1.609437912,20.07142857,70.85714286,-66.94166113,0.401972788
1991,33,2.879198457,16.48571429,66.04761905,-78.46348953,0.756419029
1991,34,2.128231706,15.74285714,73.23809524,-81.00585634,0.6998442
1991,35,1.609437912,13.42857143,70.95238095,-13.32938259,0.124768555
1991,36,-1.11E-16,13.38571429,67.9047619,-62.70594033,0.923193673
1991,37,1.987874348,14.45714286,76.14285714,-132.5501416,0.170655852
1991,38,3.526360525,13.37142857,74.57142857,-81.46259871,0.205768034
1991,39,0.336472237,13.47142857,76.71428571,-168.435796,-0.648909499
1991,40,0.875468737,10.81428571,67.28571429,-150.2434453,-0.025463088
1991,42,1.458615023,6.871428571,77.76190476,-104.2441485,0.395116701
1991,43,2.595254707,0.528571429,80.61904762,-12.68902954,1.332232986
1991,44,1.85629799,1.2,82.71428571,148.2968386,0.842144215
1991,45,2.90690106,3.257142857,80.66666667,-127.9218259,0.151095717
1991,46,3.165475048,1.985714286,89.47619048,-147.2065063,0.420617838
1991,49,2.58021683,-3.671428571,89.33333333,-51.41584216,2.316267253
1991,51,3.701301974,1.171428571,87.19047619,-99.24435202,1.584073075
1991,52,2.884800713,-0.842857143,87.42857143,-66.9334868,1.786165631
1992,1,3.117949906,2.671428571,78.80952381,-106.7196082,0.409062724
1992,2,2.272125886,1.057142857,85.23809524,-97.41582732,1.079202183
1992,3,2.104134154,-1.714285714,85.9047619,-67.4416704,1.655003311
1992,5,1.504077397,-0.5,86.95238095,-66.09464555,2.274884332
1992,6,2.549445171,1.6,88.57142857,-100.5092766,0.553694296
1992,7,2.965273066,1.9,81.71428571,-91.15143487,0.355940555
1992,8,2.341805806,-0.685714286,85.0952381,-74.10406837,1.445723746
1992,9,1.722766598,3.742857143,77.52380952,-103.7726945,1.136263893
1992,10,3.091042453,4.314285714,66.9047619,163.8401183,1.38385932
1992,11,2.827313622,1.728571429,78.52380952,-102.9347979,1.18365798
1992,13,2.646174797,1.571428571,81.61904762,-116.4158902,1.336612072
1992,14,2.459588842,4.142857143,76.9047619,-95.28244703,1.215143673
1992,15,0.336472237,6.642857143,60.71428571,-80.49199681,1.326855956
1992,16,1.280933845,5.042857143,59.80952381,-80.16619525,1.236915153
1992,17,2.901421594,12.48571429,64.47619048,-102.233414,0.872995033
1992,18,0.262364264,10.11428571,72.28571429,-39.71017397,0.957612346
1992,19,1.064710737,11.84285714,63.61904762,-97.06534852,0.456393339
1992,22,0.182321557,15.07142857,54.14285714,88.99117746,0.651391516
1992,23,3.642835516,15.35714286,78.61904762,103.3473532,-0.019861627
1992,24,1.887069649,15.88571429,70.33333333,-4.059292141,1.106474307
1992,25,3.650658241,18.25714286,67.71428571,26.29252618,0.427508803
1992,26,2.517696473,17.37142857,56.57142857,41.59878823,0.276046177
